Page path and screen class,Total users_current,Key events_current,Engagement rate_current,User key event rate_current,Week_Start_current,Total users_previous,Key events_previous,Engagement rate_previous,User key event rate_previous,Week_Start_previous,Users_Change,Users_Change_Pct,Key_Events_Change,Key_Events_Change_Pct,Engagement_Change,Week_Comparison,Current_Week,Previous_Week
/about/privacy-policy/request-user-preferences-email,8.0,0.0,0.5,0.0,2025-09-08 00:00:00,28.0,0.0,0.7046296296296296,0.0,2025-09-01 00:00:00,-20.0,-71.42857142857143,0.0,0.0,-0.2046296296296296,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/privacy-policy/request-user-preferences-email/,30.0,0.0,0.41991341991341985,0.0,2025-09-08 00:00:00,41.0,0.0,0.5638888888888889,0.0,2025-09-01 00:00:00,-11.0,-26.82926829268293,0.0,0.0,-0.14397546897546903,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/privacy-policy/unsubscribe,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/security,4.0,0.0,1.0,0.0,2025-09-08 00:00:00,10.0,0.0,0.7777777777777777,0.0,2025-09-01 00:00:00,-6.0,-60.0,0.0,0.0,0.22222222222222232,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/service-delivery,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/service-delivery-detail,12.0,0.0,0.4880952380952381,0.0,2025-09-08 00:00:00,8.0,0.0,0.6666666666666666,0.0,2025-09-01 00:00:00,4.0,50.0,0.0,0.0,-0.17857142857142855,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/service-delivery-detail/,137.0,0.0,0.7261707590654959,0.0,2025-09-08 00:00:00,102.0,0.0,0.8450338639854769,0.0,2025-09-01 00:00:00,35.0,34.31372549019608,0.0,0.0,-0.11886310491998098,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/services-descriptions,0.0,0.0,0.0,0.0,0,2.0,0.0,0.75,0.0,2025-09-01 00:00:00,-2.0,-100.0,0.0,0.0,-0.75,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/services-descriptions/,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/terms-of-use,51.0,0.0,0.9083333333333334,0.0,2025-09-08 00:00:00,30.0,0.0,0.825,0.0,2025-09-01 00:00:00,21.0,70.0,0.0,0.0,0.08333333333333348,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/terms-of-use/,126.0,0.0,0.9242424242424242,0.0,2025-09-08 00:00:00,40.0,0.0,0.8916666666666666,0.0,2025-09-01 00:00:00,86.0,215.0,0.0,0.0,0.03257575757575759,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends,89.0,0.0,0.9096149464570518,0.0,2025-09-08 00:00:00,75.0,0.0,0.8902777777777777,0.0,2025-09-01 00:00:00,14.0,18.666666666666668,0.0,0.0,0.01933716867927404,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends-management-5,2.0,0.0,1.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,2.0,100.0,0.0,0.0,1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends-management-5/managing-compensation-with-no-ratings-469,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends-management-5/what-have-you-seen-as-the-standard-merit-increases-is-the-base-up-to-3-5-2055,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends/,70.0,0.0,0.6458333333333333,0.0,2025-09-08 00:00:00,49.0,0.0,0.5753246753246753,0.0,2025-09-01 00:00:00,21.0,42.857142857142854,0.0,0.0,0.07050865800865791,Week 2 vs Week 1,2025-09-08,2025-09-01
"/compensation-trends//i61bcdji8t'""`'""/i61bcdji8t/><i61bcdji8t//>yqrvt1xsgm&",0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
"/compensation-trends//z4ezvwiyia'""`'""/z4ezvwiyia/><z4ezvwiyia//>m16w2g1ray&",0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends/2025-2026-salary-budget-survey-open-for-participation,22.0,0.0,0.7447916666666666,0.0,2025-09-08 00:00:00,13.0,0.0,0.7222222222222222,0.0,2025-09-01 00:00:00,9.0,69.23076923076923,0.0,0.0,0.02256944444444442,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends/2025-compensation-best-practices-survey-now-open,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends/3-companies-revolutionized-performance-reviews,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends/3-companies-revolutionized-performance-reviews/,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends/3-essential-summer-reads-recommended-by-the-payscale-team,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/compensation-trends/3-ways-approach-benchmarking-hybrid-jobs,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
